Date;Agrupamento;GGR;Custo Freespin;Jogadores;ARPU;Novos Jogadores;Novos;Turnover;Margem;Rounds per Player;Qtd Rollback;Valor Rollback;Margem
2025-02-04;PG Soft;848708,74;0,0;47585;17,84;2914;0,0612;21777440,0;0,039;4,1;1040;1608,0;0,0390
2025-04-07;PG Soft;802775,59;0,0;41283;19,45;1407;0,0341;21717306,0;0,037;4,04;835;1565,0;0,0370
2025-04-18;PG Soft;1181346,9;0,0;48293;24,46;2291;0,0474;21532012,0;0,0549;3,8;770;1398,0;0,0549
2025-04-06;PG Soft;793529,49;0,0;42836;18,52;1542;0,036;21281555,0;0,0373;4,02;521;896,0;0,0373
2025-03-21;PG Soft;978172,53;0,0;42457;23,04;1915;0,0451;21198701,0;0,0461;3,8;452;1400,0;0,0461
2025-02-15;PG Soft;791332,71;0,0;43470;18,2;1982;0,0456;21132472,0;0,0374;4,28;1575;2624,0;0,0374
2025-06-07;PG Soft;737524,99;0,0;46330;15,92;2572;0,0555;21093649,0;0,035;3,66;823;1247,0;0,0350
2025-01-13;PG Soft;693938,78;0,0;42904;16,17;2381;0,0555;20959116,0;0,0331;4,34;728;998,0;0,0331
2025-02-11;PG Soft;335188,28;0,0;42436;7,9;1950;0,046;20725196,0;0,0162;4,22;1722;2929,0;0,0162
2025-02-20;PG Soft;808808,17;0,0;43555;18,57;2103;0,0483;20720158,0;0,039;4,14;2632;4616,0;0,0390
2025-04-08;PG Soft;587399,12;0,0;42400;13,85;1517;0,0358;20454295,0;0,0287;3,83;536;817,0;0,0287
2025-01-14;PG Soft;732477,5;0,0;42681;17,16;2248;0,0527;20130834,0;0,0364;4,28;898;1430,0;0,0364
2025-01-01;PG Soft;673289,61;0,0;43733;15,4;1640;0,0375;20095887,0;0,0335;4,22;485;683,0;0,0335
2025-03-02;PG Soft;595059,68;0,0;44514;13,37;1877;0,0422;20067733,0;0,0297;3,71;421;635,0;0,0297
2025-01-15;PG Soft;632689,56;0,0;39522;16,01;2281;0,0577;20003318,0;0,0316;4,32;1083;1895,0;0,0316
2025-06-14;PG Soft;363382,03;0,0;39450;9,21;3423;0,0868;19972320,0;0,0182;3,63;567;899,0;0,0182
2025-02-22;PG Soft;745264,85;0,0;43180;17,26;1764;0,0409;19898666,0;0,0375;4,14;870;1371,0;0,0375
2025-03-22;PG Soft;959108,68;0,0;40331;23,78;2090;0,0518;19787782,0;0,0485;3,83;272;396,0;0,0485
2025-04-01;PG Soft;703841,95;0,0;39438;17,85;1248;0,0316;19746618,0;0,0356;3,85;686;1249,0;0,0356
2025-01-12;PG Soft;633838,5;0,0;37202;17,04;2222;0,0597;19678338,0;0,0322;4,49;448;709,0;0,0322
2025-04-09;PG Soft;710567,76;0,0;47261;15,03;1547;0,0327;19608528,0;0,0362;3,52;540;901,0;0,0362
2025-02-03;PG Soft;764219,98;0,0;46141;16,56;3015;0,0653;19576042,0;0,039;4,08;1030;1473,0;0,0390
2025-08-07;PG Soft;817749,21;0,0;42490;19,25;2663;0,0627;19521294,0;0,0419;3,54;2015;3590,0;0,0419
2025-02-14;PG Soft;625956,62;0,0;40987;15,27;1805;0,044;19418912,0;0,0322;4,16;1499;2337,0;0,0322
2025-01-25;PG Soft;613063,15;0,0;69494;8,82;4019;0,0578;19347152,0;0,0317;3,32;1092;1471,0;0,0317
2025-04-16;PG Soft;816754,63;0,0;43526;18,76;2012;0,0462;19314599,0;0,0423;3,65;347;660,0;0,0423
2025-04-15;PG Soft;889496,8;0,0;39996;22,24;1822;0,0456;19243737,0;0,0462;3,87;350;584,0;0,0462
2025-01-05;PG Soft;719614,39;0,0;39559;18,19;2009;0,0508;19231029,0;0,0374;4,43;420;640,0;0,0374
2025-08-04;PG Soft;1126345,71;0,0;33697;33,43;2199;0,0653;19067356,0;0,0591;3,45;806;1807,0;0,0591
2025-01-30;PG Soft;603306,45;0,0;44066;13,69;2945;0,0668;19050923,0;0,0317;3,99;2036;2898,0;0,0317
2025-01-18;PG Soft;665658,19;0,0;48741;13,66;1962;0,0403;19018052,0;0,035;3,94;730;886,0;0,0350
2025-04-03;PG Soft;800329,19;0,0;42012;19,05;1683;0,0401;19009059,0;0,0421;3,73;327;556,0;0,0421
2025-03-04;PG Soft;389861,39;0,0;44260;8,81;2298;0,0519;19006102,0;0,0205;3,44;767;1716,0;0,0205
2025-04-10;PG Soft;905437,86;0,0;41561;21,79;1555;0,0374;18930618,0;0,0478;3,81;583;1113,0;0,0478
2025-03-05;PG Soft;426562,61;0,0;39546;10,79;1845;0,0467;18928824,0;0,0225;3,5;722;1564,0;0,0225
2025-04-02;PG Soft;718502,44;0,0;48289;14,88;1436;0,0297;18884268,0;0,038;3,39;711;1364,0;0,0380
2025-02-02;PG Soft;735270,05;0,0;46239;15,9;3636;0,0786;18869027,0;0,039;4,11;1306;1743,0;0,0390
2025-08-02;PG Soft;791772,69;0,0;39466;20,06;2945;0,0746;18793072,0;0,0421;3,49;3044;9006,0;0,0421
2025-03-08;PG Soft;384616,19;0,0;32205;11,94;588;0,0183;18753527,0;0,0205;4,38;479;798,0;0,0205
2025-03-29;PG Soft;544259,64;0,0;44104;12,34;2535;0,0575;18748465,0;0,029;3,8;790;1759,0;0,0290
2025-04-11;PG Soft;880557,28;0,0;41530;21,2;1428;0,0344;18746005,0;0,047;3,84;458;884,0;0,0470
2025-06-05;PG Soft;488299,15;0,0;38506;12,68;2478;0,0644;18737556,0;0,0261;3,71;1685;3096,0;0,0261
2025-08-08;PG Soft;908503,05;0,0;40744;22,3;2468;0,0606;18617040,0;0,0488;3,48;1724;3067,0;0,0488
2025-06-08;PG Soft;543389,43;0,0;41241;13,18;2768;0,0671;18602996,0;0,0292;3,57;304;531,0;0,0292
2025-02-12;PG Soft;954910,95;0,0;38061;25,09;1570;0,0412;18594827,0;0,0514;4,06;1639;2420,0;0,0514
2025-01-16;PG Soft;766079,55;0,0;37370;20,5;2124;0,0568;18510581,0;0,0414;4,39;556;924,0;0,0414
2025-03-20;PG Soft;546440,21;0,0;40070;13,64;1806;0,0451;18480975,0;0,0296;3,67;683;1594,0;0,0296
2025-01-24;PG Soft;764929,1;0,0;55662;13,74;2961;0,0532;18414129,0;0,0415;3,62;995;1597,0;0,0415
2025-02-19;PG Soft;534832,16;0,0;39778;13,45;1829;0,046;18373948,0;0,0291;4,08;890;1764,0;0,0291
2025-04-12;PG Soft;522287,43;0,0;40574;12,87;1522;0,0375;18372630,0;0,0284;3,78;727;1567,0;0,0284
2025-01-20;PG Soft;486058,57;0,0;40377;12,04;2000;0,0495;18349955,0;0,0265;4,22;573;912,0;0,0265
2025-05-07;PG Soft;810343,4;0,0;41099;19,72;1588;0,0386;18314220,0;0,0442;3,68;1458;2446,0;0,0442
2025-02-18;PG Soft;594079,77;0,0;39180;15,16;1617;0,0413;18313889,0;0,0324;4,22;868;1543,0;0,0324
2025-07-31;PG Soft;1031045,32;0,0;36007;28,63;2297;0,0638;18300804,0;0,0563;3,53;610;1027,0;0,0563
2025-01-17;PG Soft;675375,44;0,0;36995;18,26;1697;0,0459;18298627,0;0,0369;4,4;599;900,0;0,0369
2025-03-09;PG Soft;532942,37;0,0;28076;18,98;553;0,0197;18251023,0;0,0292;4,05;239;375,0;0,0292
2025-02-17;PG Soft;548239,06;0,0;38932;14,08;1925;0,0494;18234666,0;0,0301;4,16;735;1297,0;0,0301
2025-08-01;PG Soft;814603,96;0,0;38930;20,92;2331;0,0599;18193700,0;0,0448;3,58;1045;1850,0;0,0448
2025-06-13;PG Soft;643984,89;0,0;38006;16,94;3263;0,0859;18105601,0;0,0356;3,6;427;910,0;0,0356
2025-01-21;PG Soft;659874,39;0,0;40040;16,48;2353;0,0588;18000418,0;0,0367;4,19;485;669,0;0,0367
2025-06-04;PG Soft;599712,57;0,0;35470;16,91;2424;0,0683;17967113,0;0,0334;3,68;480;1199,0;0,0334
2025-07-18;PG Soft;639536,11;0,0;43733;14,62;3504;0,0801;17906245,0;0,0357;3,34;497;908,0;0,0357
2025-02-13;PG Soft;667911,6;0,0;39138;17,07;1808;0,0462;17887198,0;0,0373;4,16;1330;2235,0;0,0373
2025-08-06;PG Soft;641915,94;0,0;38926;16,49;2303;0,0592;17848776,0;0,036;3,5;4340;8333,0;0,0360
2025-05-08;PG Soft;912153,9;0,0;41735;21,86;1715;0,0411;17848713,0;0,0511;3,76;1038;1609,0;0,0511
2025-01-23;PG Soft;598627,93;0,0;60797;9,85;3496;0,0575;17800080,0;0,0336;3,3;739;1027,0;0,0336
2025-06-11;PG Soft;586187,77;0,0;38774;15,12;2604;0,0672;17694453,0;0,0331;3,36;914;1497,0;0,0331
2025-01-22;PG Soft;641952,71;0,0;48998;13,1;4461;0,091;17659121,0;0,0364;3,69;516;819,0;0,0364
2025-03-31;PG Soft;511540,1;0,0;36724;13,93;1411;0,0384;17587434,0;0,0291;3,83;287;583,0;0,0291
2025-03-03;PG Soft;788647,25;0,0;41020;19,23;1925;0,0469;17544560,0;0,045;3,77;332;568,0;0,0450
2025-03-14;PG Soft;542840,37;0,0;27914;19,45;628;0,0225;17504044,0;0,031;3,97;341;527,0;0,0310
2025-06-20;PG Soft;622312,62;0,0;39205;15,87;2968;0,0757;17478714,0;0,0356;3,54;461;693,0;0,0356
2025-01-26;PG Soft;600820,32;0,0;44474;13,51;2941;0,0661;17440396,0;0,0344;3,83;762;966,0;0,0344
2025-02-27;PG Soft;577513,22;0,0;53294;10,84;1220;0,0229;17422450,0;0,0331;3,19;329;549,0;0,0331
2025-06-03;PG Soft;519389,72;0,0;36526;14,22;2504;0,0686;17301513,0;0,03;3,61;370;669,0;0,0300
2025-05-09;PG Soft;742210,67;0,0;40122;18,5;1763;0,0439;17293177,0;0,0429;3,65;953;1721,0;0,0429
2025-06-21;PG Soft;778997,79;0,0;39184;19,88;2681;0,0684;17288914,0;0,0451;3,49;355;483,0;0,0451
2025-05-31;PG Soft;673956,21;0,0;36629;18,4;1628;0,0444;17248932,0;0,0391;3,71;785;1308,0;0,0391
2025-02-26;PG Soft;507988,85;0,0;39137;12,98;1289;0,0329;17244462,0;0,0295;3,75;693;1258,0;0,0295
2025-05-02;PG Soft;898898,73;0,0;38003;23,65;1637;0,0431;17224631,0;0,0522;3,58;609;1359,0;0,0522
2025-01-29;PG Soft;555252,64;0,0;39850;13,93;2823;0,0708;17142587,0;0,0324;3,94;973;1702,0;0,0324
2025-03-28;PG Soft;548868,96;0,0;41301;13,29;2358;0,0571;17110900,0;0,0321;3,65;2088;2743,0;0,0321
2025-05-30;PG Soft;547508,32;0,0;37421;14,63;1672;0,0447;17109956,0;0,032;3,71;531;831,0;0,0320
2025-05-16;PG Soft;555068,29;0,0;36213;15,33;1825;0,0504;17071563,0;0,0325;3,58;989;1677,0;0,0325
2025-03-11;PG Soft;593131,16;0,0;26155;22,68;384;0,0147;17049227,0;0,0348;4,15;411;670,0;0,0348
2025-08-09;PG Soft;754481,25;0,0;39031;19,33;2779;0,0712;17011642,0;0,0444;3,47;1376;2221,0;0,0444
2025-08-03;PG Soft;652095,58;0,0;34593;18,85;2418;0,0699;16986024,0;0,0384;3,49;472;753,0;0,0384
2025-01-28;PG Soft;568337,39;0,0;38800;14,65;2564;0,0661;16975556,0;0,0335;3,99;674;1217,0;0,0335
2025-06-09;PG Soft;611713,45;0,0;38255;15,99;2873;0,0751;16965469,0;0,0361;3,53;702;1158,0;0,0361
2025-02-16;PG Soft;616267,48;0,0;38468;16,02;1967;0,0511;16956087,0;0,0363;4,23;833;1638,0;0,0363
2025-05-10;PG Soft;791140,63;0,0;38412;20,6;1770;0,0461;16859385,0;0,0469;3,69;1263;2319,0;0,0469
2025-07-08;PG Soft;661454,13;0,0;43888;15,07;3314;0,0755;16854367,0;0,0392;3,33;1220;1976,0;0,0392
2025-07-19;PG Soft;632264,14;0,0;44643;14,16;3756;0,0841;16850750,0;0,0375;3,33;689;1043,0;0,0375
2025-08-15;PG Soft;728991,93;0,0;36386;20,03;3186;0,0876;16717279,0;0,0436;3,23;1102;2591,0;0,0436
2025-06-10;PG Soft;579555,08;0,0;37062;15,64;2736;0,0738;16715497,0;0,0347;3,45;464;804,0;0,0347
2025-03-15;PG Soft;212324,73;0,0;27591;7,7;672;0,0244;16672275,0;0,0127;4,04;292;510,0;0,0127
2025-03-27;PG Soft;753531,7;0,0;39015;19,31;2229;0,0571;16658986,0;0,0452;3,64;190;359,0;0,0452
2025-02-24;PG Soft;512077,83;0,0;35791;14,31;1521;0,0425;16600546,0;0,0308;4,0;167;354,0;0,0308
2025-04-14;PG Soft;455087,63;0,0;35356;12,87;1545;0,0437;16600049,0;0,0274;3,76;228;327,0;0,0274
2025-05-03;PG Soft;788865,73;0,0;38773;20,35;1571;0,0405;16591711,0;0,0475;3,69;846;1275,0;0,0475
2025-05-15;PG Soft;521876,71;0,0;36366;14,35;1652;0,0454;16589837,0;0,0315;3,51;964;1765,0;0,0315
2025-06-16;PG Soft;719135,92;0,0;36949;19,46;3339;0,0904;16521039,0;0,0435;3,48;464;766,0;0,0435
2025-08-05;PG Soft;640338,95;0,0;36404;17,59;2277;0,0625;16483231,0;0,0388;3,51;2790;4854,0;0,0388
2025-03-19;PG Soft;738207,25;0,0;42107;17,53;1710;0,0406;16444806,0;0,0449;3,27;370;567,0;0,0449
2025-07-25;PG Soft;591859,34;0,0;36672;16,14;2476;0,0675;16401669,0;0,0361;3,5;442;766,0;0,0361
2025-03-17;PG Soft;123691,79;0,0;23982;5,16;656;0,0274;16393743,0;0,0075;3,92;305;1087,0;0,0075
2025-01-19;PG Soft;603103,87;0,0;40354;14,95;2254;0,0559;16296696,0;0,037;4,06;202;390,0;0,0370
2025-04-25;PG Soft;795936,3;0,0;37827;21,04;1674;0,0443;16231312,0;0,049;3,73;733;1488,0;0,0490
2025-05-06;PG Soft;818533,64;0,0;35244;23,22;1401;0,0398;16212174,0;0,0505;3,79;806;1306,0;0,0505
2025-04-19;PG Soft;853997,16;0,0;41197;20,73;1901;0,0461;16187738,0;0,0528;3,69;685;1199,0;0,0528
2025-03-18;PG Soft;991505,27;0,0;29943;33,11;904;0,0302;16131142,0;0,0615;3,66;429;860,0;0,0615
2025-04-22;PG Soft;605879,95;0,0;36195;16,74;2257;0,0624;16074833,0;0,0377;3,73;511;861,0;0,0377
2025-07-29;PG Soft;-26,89;0,0;31700;0,0;2622;0,0827;16025764,0;0,0;3,37;771;2303,0;-0,0000
2025-05-24;PG Soft;557964,25;0,0;44198;12,62;2222;0,0503;15927107,0;0,035;3,21;554;1037,0;0,0350
2025-03-30;PG Soft;562820,47;0,0;36894;15,26;1701;0,0461;15891405,0;0,0354;3,82;131;246,0;0,0354
2025-05-17;PG Soft;465591,15;0,0;35054;13,28;1645;0,0469;15840300,0;0,0294;3,63;1113;2067,0;0,0294
2025-04-23;PG Soft;600090,03;0,0;36180;16,59;2086;0,0577;15837669,0;0,0379;3,76;251;652,0;0,0379
2025-07-15;PG Soft;493870,32;0,0;37400;13,21;3416;0,0913;15816573,0;0,0312;3,49;1320;2249,0;0,0312
2025-03-26;PG Soft;540573,2;0,0;44378;12,18;2188;0,0493;15779449,0;0,0343;3,32;340;538,0;0,0343
2025-06-17;PG Soft;836493,72;0,0;37090;22,55;3025;0,0816;15708317,0;0,0533;3,47;489;882,0;0,0533
2025-05-27;PG Soft;376700,41;0,0;32008;11,77;1653;0,0516;15686837,0;0,024;3,48;189;682,0;0,0240
2025-04-13;PG Soft;615980,97;0,0;36192;17,02;1621;0,0448;15661524,0;0,0393;3,77;235;380,0;0,0393
2025-06-15;PG Soft;546236,6;0,0;36122;15,12;3365;0,0932;15660873,0;0,0349;3,6;716;1386,0;0,0349
2025-02-23;PG Soft;543550,04;0,0;37994;14,31;1394;0,0367;15649671,0;0,0347;4,15;616;786,0;0,0347
2025-05-01;PG Soft;887972,72;0,0;36867;24,09;1638;0,0444;15645682,0;0,0568;3,65;888;1527,0;0,0568
2025-03-10;PG Soft;431923,88;0,0;26837;16,09;448;0,0167;15640060,0;0,0276;4,04;255;460,0;0,0276
2025-07-26;PG Soft;582259,07;0,0;36854;15,8;2807;0,0762;15573360,0;0,0374;3,48;226;372,0;0,0374
2025-04-26;PG Soft;483131,66;0,0;39687;12,17;1796;0,0453;15536554,0;0,0311;3,6;684;1066,0;0,0311
2025-08-16;PG Soft;545479,36;0,0;36345;15,01;3078;0,0847;15515541,0;0,0352;3,23;903;1501,0;0,0352
2025-05-23;PG Soft;743352,07;0,0;35851;20,73;2066;0,0576;15499595,0;0,048;3,62;509;817,0;0,0480
2025-01-27;PG Soft;563246,95;0,0;37849;14,88;2279;0,0602;15446250,0;0,0365;3,96;415;612,0;0,0365
2025-04-24;PG Soft;688848,66;0,0;37816;18,22;1950;0,0516;15437959,0;0,0446;3,63;393;656,0;0,0446
2025-08-11;PG Soft;590406,67;0,0;33034;17,87;2661;0,0806;15396774,0;0,0383;3,4;701;1883,0;0,0383
2025-07-21;PG Soft;723929,22;0,0;38426;18,84;3071;0,0799;15393127,0;0,047;3,28;538;828,0;0,0470
2025-06-02;PG Soft;586755,59;0,0;35193;16,67;2221;0,0631;15389617,0;0,0381;3,6;336;561,0;0,0381
2025-07-11;PG Soft;839619,34;0,0;42365;19,82;3556;0,0839;15385880,0;0,0546;3,31;1512;2513,0;0,0546
2025-05-05;PG Soft;563611,82;0,0;34689;16,25;1394;0,0402;15362060,0;0,0367;3,74;460;831,0;0,0367
2025-02-25;PG Soft;592520,78;0,0;37617;15,75;1114;0,0296;15287005,0;0,0388;3,73;420;589,0;0,0388
2025-03-23;PG Soft;601312,49;0,0;36420;16,51;2173;0,0597;15264593,0;0,0394;3,8;317;373,0;0,0394
2025-06-01;PG Soft;219360,25;0,0;34655;6,33;1966;0,0567;15250155,0;0,0144;3,61;409;708,0;0,0144
2025-05-20;PG Soft;754332,41;0,0;34661;21,76;1668;0,0481;15232416,0;0,0495;3,62;426;736,0;0,0495
2025-03-16;PG Soft;330625,48;0,0;24777;13,34;577;0,0233;15087139,0;0,0219;3,99;303;418,0;0,0219
2025-04-30;PG Soft;675696,5;0,0;35652;18,95;1654;0,0464;15073747,0;0,0448;3,6;905;1638,0;0,0448
2025-07-22;PG Soft;665369,33;0,0;37967;17,52;2765;0,0728;15067660,0;0,0442;3,35;762;1539,0;0,0442
2025-06-18;PG Soft;520439,19;0,0;36237;14,36;3018;0,0833;15035042,0;0,0346;3,52;242;475,0;0,0346
2025-08-12;PG Soft;445692,47;0,0;34230;13,02;2971;0,0868;14996151,0;0,0297;3,28;515;892,0;0,0297
2025-05-21;PG Soft;458869,87;0,0;40409;11,36;2099;0,0519;14880929,0;0,0308;3,33;258;349,0;0,0308
2025-08-20;PG Soft;543239,14;0,0;35282;15,4;2662;0,0754;14857435,0;0,0366;3,38;534;978,0;0,0366
2025-01-03;Pragmatic Play;708003,81;2165,0;36452;19,42;1134;0,0311;14832668,0;0,0477;4,78;425;2237,0;0,0477
2025-06-27;PG Soft;590294,7;0,0;38048;15,51;1015;0,0267;14825225,0;0,0398;3,42;443;703,0;0,0398
2025-07-09;PG Soft;677689,66;0,0;40024;16,93;3166;0,0791;14719521,0;0,046;3,4;750;1226,0;0,0460
2025-07-12;PG Soft;678621,69;0,0;42721;15,88;3580;0,0838;14704252,0;0,0462;3,25;2657;3614,0;0,0462
2025-06-12;PG Soft;529937,11;0,0;34278;15,46;2585;0,0754;14684337,0;0,0361;3,44;347;595,0;0,0361
2025-06-28;PG Soft;705594,15;0,0;37838;18,65;1469;0,0388;14668320,0;0,0481;3,47;550;791,0;0,0481
2025-07-30;PG Soft;648409,38;0,0;33177;19,54;2392;0,0721;14615921,0;0,0444;3,41;157;331,0;0,0444
2025-07-23;PG Soft;550618,55;0,0;38512;14,3;2955;0,0767;14559288,0;0,0378;3,32;572;1045,0;0,0378
2025-05-12;PG Soft;630046,57;0,0;32476;19,4;1782;0,0549;14462772,0;0,0436;3,61;769;1518,0;0,0436
2025-04-27;PG Soft;710238,64;0,0;35796;19,84;2091;0,0584;14444850,0;0,0492;3,68;499;864,0;0,0492
2025-03-12;PG Soft;232608,31;0,0;25238;9,22;348;0,0138;14379183,0;0,0162;4,0;291;478,0;0,0162
2025-07-05;PG Soft;709049,25;0,0;43678;16,23;2379;0,0545;14329889,0;0,0495;3,58;8864;13384,0;0,0495
2025-05-22;PG Soft;306347,94;0,0;34135;8,97;1775;0,052;14328847,0;0,0214;3,52;203;352,0;0,0214
2025-07-16;PG Soft;568117,22;0,0;36411;15,6;3370;0,0926;14265853,0;0,0398;3,4;300;566,0;0,0398
2025-03-24;PG Soft;588331,74;0,0;35235;16,7;1925;0,0546;14249427,0;0,0413;3,74;494;757,0;0,0413
2025-08-10;PG Soft;655588,66;0,0;34630;18,93;2626;0,0758;14194681,0;0,0462;3,38;229;405,0;0,0462
2025-07-01;PG Soft;553549,65;0,0;35482;15,6;1367;0,0385;14189952,0;0,039;3,67;954;1811,0;0,0390
2025-07-20;PG Soft;483148,1;0,0;38528;12,54;3246;0,0843;14144682,0;0,0342;3,31;386;702,0;0,0342
2025-08-13;PG Soft;446408,62;0,0;32260;13,84;2578;0,0799;14136468,0;0,0316;3,16;315;588,0;0,0316
2025-07-02;PG Soft;680834,53;0,0;36144;18,84;1760;0,0487;14131443,0;0,0482;3,5;1993;3566,0;0,0482
2025-07-07;PG Soft;680205,93;0,0;40397;16,84;3327;0,0824;14124998,0;0,0482;3,51;4801;8206,0;0,0482
2025-06-19;PG Soft;697304,71;0,0;37598;18,55;2835;0,0754;14099782,0;0,0495;3,46;212;294,0;0,0495
2025-07-17;PG Soft;656673,22;0,0;35707;18,39;3466;0,0971;14083921,0;0,0466;3,37;272;542,0;0,0466
2025-05-04;PG Soft;677746,94;0,0;33514;20,22;1475;0,044;14048644,0;0,0482;3,72;456;703,0;0,0482
2025-05-29;PG Soft;240056,66;0,0;32674;7,35;1457;0,0446;14039707,0;0,0171;3,47;402;806,0;0,0171
2025-06-22;PG Soft;471445,78;0,0;33114;14,24;2200;0,0664;14012602,0;0,0336;3,51;264;753,0;0,0336
2025-04-21;PG Soft;539062,55;0,0;37164;14,5;2457;0,0661;14010698,0;0,0385;3,69;299;438,0;0,0385
2025-08-22;PG Soft;406507,6;0,0;41284;9,85;2933;0,071;13997856,0;0,029;3,11;833;1316,0;0,0290
2025-05-13;PG Soft;465487,89;0,0;30510;15,26;1841;0,0603;13913812,0;0,0335;3,55;452;852,0;0,0335
2025-05-19;PG Soft;330958,96;0,0;30611;10,81;2359;0,0771;13841757,0;0,0239;3,53;691;1039,0;0,0239
2025-04-28;PG Soft;413289,65;0,0;32012;12,91;1463;0,0457;13821154,0;0,0299;3,62;406;701,0;0,0299
2025-05-14;PG Soft;482591,36;0,0;30635;15,75;1842;0,0601;13818063,0;0,0349;3,56;846;1638,0;0,0349
2025-04-20;PG Soft;614430,73;0,0;37915;16,21;2056;0,0542;13794623,0;0,0445;3,69;279;442,0;0,0445
2025-08-23;PG Soft;600556,32;0,0;38013;15,8;3411;0,0897;13782294,0;0,0436;3,2;977;1624,0;0,0436
2025-05-18;PG Soft;462579,22;0,0;30898;14,97;1662;0,0538;13761927,0;0,0336;3,56;831;1663,0;0,0336
2025-08-21;PG Soft;538182,03;0,0;38202;14,09;2922;0,0765;13746926,0;0,0391;3,16;372;577,0;0,0391
2025-07-06;PG Soft;789968,28;0,0;37212;21,23;2467;0,0663;13720265,0;0,0576;3,56;3437;5482,0;0,0576
2025-05-11;PG Soft;624990,45;0,0;33654;18,57;1702;0,0506;13715327,0;0,0456;3,65;1219;1774,0;0,0456
2025-05-28;PG Soft;411394,47;0,0;35911;11,46;1533;0,0427;13709067,0;0,03;3,3;204;243,0;0,0300
2025-07-24;PG Soft;574415,73;0,0;36598;15,7;2901;0,0793;13673636,0;0,042;3,37;228;316,0;0,0420
2025-06-24;PG Soft;673358,35;0,0;32895;20,47;1675;0,0509;13605225,0;0,0495;3,48;615;1211,0;0,0495
